6124
disgust scream smile squint surprise neutral
train_0045.jpg -1 1 -1 -1 -1 -1
train_0046.jpg -1 -1 -1 1 -1 -1
train_0047.jpg -1 -1 -1 -1 -1 1
train_0048.jpg -1 -1 -1 -1 -1 1
train_0049.jpg -1 1 -1 -1 -1 -1
train_0050.jpg -1 1 -1 -1 -1 -1
train_0051.jpg -1 -1 -1 -1 1 -1
train_0052.jpg -1 -1 -1 -1 -1 1
train_0053.jpg -1 -1 1 -1 -1 -1
train_0054.jpg -1 -1 1 -1 -1 -1
train_0055.jpg 1 -1 -1 -1 -1 -1
train_0056.jpg -1 -1 1 -1 -1 -1
train_0057.jpg 1 -1 -1 -1 -1 -1
train_0058.jpg -1 -1 -1 -1 -1 1
train_0059.jpg -1 -1 -1 -1 -1 1
train_0060.jpg -1 1 -1 -1 -1 -1
train_0061.jpg -1 -1 -1 -1 -1 1
train_0062.jpg 1 -1 -1 -1 -1 -1
train_0063.jpg -1 -1 1 -1 -1 -1
train_0064.jpg -1 -1 -1 -1 1 -1
train_0065.jpg -1 1 -1 -1 -1 -1
train_0066.jpg -1 -1 -1 -1 -1 1
train_0067.jpg -1 -1 1 -1 -1 -1
train_0068.jpg -1 -1 -1 1 -1 -1
train_0069.jpg -1 -1 -1 -1 -1 1
train_0070.jpg -1 -1 -1 -1 -1 1
train_0071.jpg -1 -1 1 -1 -1 -1
train_0072.jpg -1 1 -1 -1 -1 -1
train_0073.jpg 1 -1 -1 -1 -1 -1
train_0074.jpg -1 1 -1 -1 -1 -1
train_0075.jpg 1 -1 -1 -1 -1 -1
train_0076.jpg -1 -1 -1 1 -1 -1
train_0077.jpg -1 -1 -1 -1 -1 1
train_0078.jpg -1 -1 1 -1 -1 -1
train_0079.jpg 1 -1 -1 -1 -1 -1
train_0080.jpg -1 1 -1 -1 -1 -1
train_0081.jpg -1 1 -1 -1 -1 -1
train_0082.jpg 1 -1 -1 -1 -1 -1
train_0083.jpg -1 -1 -1 -1 1 -1
train_0084.jpg -1 -1 1 -1 -1 -1
train_0085.jpg -1 -1 -1 -1 -1 1
train_0086.jpg -1 -1 1 -1 -1 -1
train_0087.jpg -1 -1 -1 -1 1 -1
train_0088.jpg -1 -1 -1 -1 1 -1
train_0089.jpg -1 -1 -1 1 -1 -1
train_0090.jpg -1 -1 -1 1 -1 -1
train_0091.jpg -1 -1 -1 -1 -1 1
train_0092.jpg -1 -1 -1 -1 -1 1
train_0093.jpg -1 -1 -1 -1 1 -1
train_0094.jpg -1 -1 -1 1 -1 -1
train_0095.jpg 1 -1 -1 -1 -1 -1
train_0096.jpg -1 -1 -1 -1 1 -1
train_0097.jpg -1 -1 -1 -1 -1 1
train_0098.jpg -1 -1 -1 -1 -1 1
train_0099.jpg -1 -1 -1 -1 1 -1
train_0100.jpg -1 -1 -1 -1 -1 1
train_0101.jpg -1 -1 1 -1 -1 -1
train_0102.jpg 1 -1 -1 -1 -1 -1
train_0103.jpg -1 -1 1 -1 -1 -1
train_0104.jpg -1 -1 -1 -1 -1 1
train_0105.jpg 1 -1 -1 -1 -1 -1
train_0106.jpg -1 -1 -1 -1 -1 1
train_0107.jpg -1 1 -1 -1 -1 -1
train_0108.jpg -1 -1 1 -1 -1 -1
train_0109.jpg -1 -1 1 -1 -1 -1
train_0110.jpg -1 1 -1 -1 -1 -1
train_0111.jpg -1 -1 1 -1 -1 -1
train_0112.jpg -1 -1 -1 1 -1 -1
train_0113.jpg -1 -1 -1 -1 -1 1
train_0114.jpg -1 -1 1 -1 -1 -1
train_0115.jpg -1 -1 -1 -1 1 -1
train_0116.jpg -1 1 -1 -1 -1 -1
train_0117.jpg -1 -1 -1 1 -1 -1
train_0118.jpg -1 -1 -1 1 -1 -1
train_0119.jpg -1 -1 -1 -1 1 -1
train_0120.jpg 1 -1 -1 -1 -1 -1
train_0121.jpg 1 -1 -1 -1 -1 -1
train_0122.jpg -1 1 -1 -1 -1 -1
train_0123.jpg -1 -1 -1 1 -1 -1
train_0124.jpg -1 1 -1 -1 -1 -1
train_0125.jpg -1 -1 1 -1 -1 -1
train_0126.jpg -1 -1 -1 -1 -1 1
train_0127.jpg -1 -1 -1 1 -1 -1
train_0128.jpg -1 -1 -1 -1 -1 1
train_0129.jpg -1 -1 1 -1 -1 -1
train_0130.jpg -1 1 -1 -1 -1 -1
train_0131.jpg -1 -1 -1 1 -1 -1
train_0132.jpg -1 -1 1 -1 -1 -1
train_0133.jpg -1 1 -1 -1 -1 -1
train_0134.jpg -1 -1 -1 1 -1 -1
train_0135.jpg -1 -1 -1 -1 -1 1
train_0136.jpg -1 1 -1 -1 -1 -1
train_0137.jpg -1 -1 -1 -1 1 -1
train_0138.jpg -1 1 -1 -1 -1 -1
train_0139.jpg -1 -1 -1 -1 -1 1
train_0140.jpg -1 -1 -1 -1 -1 1
train_0141.jpg -1 -1 1 -1 -1 -1
train_0142.jpg -1 -1 -1 -1 1 -1
train_0143.jpg -1 -1 1 -1 -1 -1
train_0144.jpg -1 -1 -1 1 -1 -1
train_0145.jpg 1 -1 -1 -1 -1 -1
train_0146.jpg -1 -1 -1 -1 1 -1
train_0147.jpg -1 1 -1 -1 -1 -1
train_0148.jpg -1 1 -1 -1 -1 -1
train_0149.jpg -1 -1 1 -1 -1 -1
train_0150.jpg -1 -1 -1 -1 -1 1
train_0151.jpg -1 -1 -1 -1 -1 1
train_0152.jpg 1 -1 -1 -1 -1 -1
train_0153.jpg -1 -1 1 -1 -1 -1
train_0154.jpg -1 -1 -1 -1 -1 1
train_0155.jpg -1 -1 -1 1 -1 -1
train_0156.jpg -1 -1 1 -1 -1 -1
train_0157.jpg -1 -1 1 -1 -1 -1
train_0158.jpg -1 1 -1 -1 -1 -1
train_0159.jpg 1 -1 -1 -1 -1 -1
train_0160.jpg 1 -1 -1 -1 -1 -1
train_0161.jpg -1 -1 -1 1 -1 -1
train_0162.jpg -1 -1 -1 -1 1 -1
train_0163.jpg -1 -1 1 -1 -1 -1
train_0164.jpg -1 -1 -1 1 -1 -1
train_0165.jpg -1 1 -1 -1 -1 -1
train_0166.jpg -1 1 -1 -1 -1 -1
train_0167.jpg -1 -1 1 -1 -1 -1
train_0168.jpg 1 -1 -1 -1 -1 -1
train_0169.jpg -1 -1 -1 1 -1 -1
train_0170.jpg -1 1 -1 -1 -1 -1
train_0171.jpg -1 -1 -1 1 -1 -1
train_0172.jpg -1 1 -1 -1 -1 -1
train_0173.jpg -1 -1 -1 1 -1 -1
train_0174.jpg -1 -1 -1 1 -1 -1
train_0175.jpg -1 -1 -1 -1 -1 1
train_0176.jpg -1 1 -1 -1 -1 -1
train_0177.jpg -1 -1 -1 -1 1 -1
train_0178.jpg -1 -1 -1 1 -1 -1
train_0179.jpg 1 -1 -1 -1 -1 -1
train_0180.jpg -1 -1 -1 -1 -1 1
train_0181.jpg -1 1 -1 -1 -1 -1
train_0182.jpg -1 1 -1 -1 -1 -1
train_0183.jpg -1 -1 -1 -1 -1 1
train_0184.jpg -1 -1 -1 1 -1 -1
train_0185.jpg -1 -1 -1 -1 -1 1
train_0186.jpg -1 -1 -1 1 -1 -1
train_0187.jpg -1 -1 1 -1 -1 -1
train_0188.jpg 1 -1 -1 -1 -1 -1
train_0189.jpg -1 -1 -1 -1 -1 1
train_0190.jpg -1 -1 1 -1 -1 -1
train_0191.jpg -1 1 -1 -1 -1 -1
train_0192.jpg -1 -1 -1 -1 1 -1
train_0193.jpg -1 -1 1 -1 -1 -1
train_0194.jpg -1 -1 -1 -1 1 -1
train_0195.jpg -1 -1 -1 -1 -1 1
train_0196.jpg -1 -1 -1 1 -1 -1
train_0197.jpg 1 -1 -1 -1 -1 -1
train_0198.jpg -1 -1 1 -1 -1 -1
train_0199.jpg -1 -1 1 -1 -1 -1
train_0200.jpg -1 -1 -1 1 -1 -1
train_0201.jpg -1 -1 -1 1 -1 -1
train_0202.jpg -1 -1 -1 1 -1 -1
train_0203.jpg 1 -1 -1 -1 -1 -1
train_0204.jpg -1 -1 -1 -1 -1 1
train_0205.jpg -1 -1 -1 1 -1 -1
train_0206.jpg -1 1 -1 -1 -1 -1
train_0207.jpg -1 1 -1 -1 -1 -1
train_0208.jpg -1 -1 1 -1 -1 -1
train_0209.jpg -1 -1 -1 1 -1 -1
train_0210.jpg 1 -1 -1 -1 -1 -1
train_0211.jpg -1 -1 -1 1 -1 -1
train_0212.jpg -1 -1 -1 -1 1 -1
train_0213.jpg -1 -1 -1 -1 -1 1
train_0214.jpg -1 -1 -1 1 -1 -1
train_0215.jpg -1 1 -1 -1 -1 -1
train_0216.jpg -1 1 -1 -1 -1 -1
train_0217.jpg -1 -1 -1 -1 -1 1
train_0218.jpg -1 -1 -1 -1 -1 1
train_0219.jpg -1 -1 1 -1 -1 -1
train_0220.jpg 1 -1 -1 -1 -1 -1
train_0221.jpg -1 -1 -1 1 -1 -1
train_0222.jpg 1 -1 -1 -1 -1 -1
train_0223.jpg -1 -1 -1 1 -1 -1
train_0224.jpg -1 1 -1 -1 -1 -1
train_0225.jpg -1 -1 -1 -1 -1 1
train_0226.jpg -1 -1 -1 -1 -1 1
train_0227.jpg -1 -1 -1 1 -1 -1
train_0228.jpg -1 -1 -1 -1 -1 1
train_0229.jpg -1 1 -1 -1 -1 -1
train_0230.jpg -1 1 -1 -1 -1 -1
train_0231.jpg -1 -1 -1 1 -1 -1
train_0232.jpg -1 1 -1 -1 -1 -1
train_0233.jpg -1 -1 -1 -1 -1 1
train_0234.jpg 1 -1 -1 -1 -1 -1
train_0235.jpg -1 -1 -1 -1 -1 1
train_0236.jpg -1 -1 -1 -1 -1 1
train_0237.jpg -1 -1 -1 1 -1 -1
train_0238.jpg -1 -1 -1 -1 1 -1
train_0239.jpg -1 -1 -1 -1 -1 1
train_0240.jpg -1 -1 -1 -1 -1 1
train_0241.jpg -1 -1 -1 -1 1 -1
train_0242.jpg -1 -1 -1 -1 1 -1
train_0243.jpg -1 -1 1 -1 -1 -1
train_0244.jpg -1 -1 -1 -1 -1 1
train_0245.jpg -1 -1 -1 -1 1 -1
train_0246.jpg -1 -1 -1 -1 1 -1
train_0247.jpg -1 1 -1 -1 -1 -1
train_0248.jpg -1 -1 -1 1 -1 -1
train_0249.jpg 1 -1 -1 -1 -1 -1
train_0250.jpg -1 -1 -1 -1 1 -1
train_0251.jpg -1 -1 -1 -1 1 -1
train_0252.jpg -1 -1 1 -1 -1 -1
train_0253.jpg 1 -1 -1 -1 -1 -1
train_0254.jpg -1 1 -1 -1 -1 -1
train_0255.jpg -1 -1 1 -1 -1 -1
train_0256.jpg -1 -1 -1 -1 -1 1
train_0257.jpg -1 1 -1 -1 -1 -1
train_0258.jpg -1 1 -1 -1 -1 -1
train_0259.jpg 1 -1 -1 -1 -1 -1
train_0260.jpg -1 1 -1 -1 -1 -1
train_0261.jpg -1 -1 1 -1 -1 -1
train_0262.jpg -1 -1 -1 -1 -1 1
train_0263.jpg -1 -1 -1 1 -1 -1
train_0264.jpg -1 -1 1 -1 -1 -1
train_0265.jpg -1 -1 -1 -1 1 -1
train_0266.jpg -1 -1 -1 -1 -1 1
train_0267.jpg -1 1 -1 -1 -1 -1
train_0268.jpg -1 -1 1 -1 -1 -1
train_0269.jpg -1 -1 1 -1 -1 -1
train_0270.jpg -1 -1 1 -1 -1 -1
train_0271.jpg -1 -1 -1 -1 -1 1
train_0272.jpg -1 -1 -1 1 -1 -1
train_0273.jpg -1 -1 -1 1 -1 -1
train_0274.jpg -1 -1 -1 -1 -1 1
train_0275.jpg -1 -1 -1 -1 -1 1
train_0276.jpg -1 -1 -1 1 -1 -1
train_0277.jpg -1 -1 1 -1 -1 -1
train_0278.jpg -1 -1 1 -1 -1 -1
train_0279.jpg -1 -1 -1 -1 -1 1
train_0280.jpg -1 -1 -1 1 -1 -1
train_0281.jpg 1 -1 -1 -1 -1 -1
train_0282.jpg -1 -1 -1 -1 -1 1
train_0283.jpg -1 1 -1 -1 -1 -1
train_0284.jpg -1 -1 -1 -1 -1 1
train_0285.jpg 1 -1 -1 -1 -1 -1
train_0286.jpg -1 -1 -1 -1 1 -1
train_0287.jpg 1 -1 -1 -1 -1 -1
train_0288.jpg -1 1 -1 -1 -1 -1
train_0289.jpg -1 -1 1 -1 -1 -1
train_0290.jpg -1 -1 -1 -1 1 -1
train_0291.jpg -1 -1 -1 -1 1 -1
train_0292.jpg -1 -1 -1 -1 -1 1
train_0293.jpg -1 1 -1 -1 -1 -1
train_0294.jpg -1 -1 -1 -1 1 -1
train_0295.jpg -1 -1 -1 -1 1 -1
train_0296.jpg -1 1 -1 -1 -1 -1
train_0297.jpg -1 -1 -1 1 -1 -1
train_0298.jpg -1 -1 -1 -1 1 -1
train_0299.jpg -1 -1 1 -1 -1 -1
train_0300.jpg -1 -1 -1 -1 1 -1
train_0301.jpg -1 -1 1 -1 -1 -1
train_0302.jpg -1 -1 -1 -1 -1 1
train_0303.jpg -1 -1 -1 -1 1 -1
train_0304.jpg -1 -1 -1 1 -1 -1
train_0305.jpg 1 -1 -1 -1 -1 -1
train_0306.jpg -1 -1 1 -1 -1 -1
train_0307.jpg -1 -1 -1 -1 -1 1
train_0308.jpg -1 -1 -1 1 -1 -1
train_0309.jpg -1 -1 -1 1 -1 -1
train_0310.jpg -1 -1 -1 1 -1 -1
train_0311.jpg -1 -1 -1 1 -1 -1
train_0312.jpg -1 1 -1 -1 -1 -1
train_0313.jpg -1 -1 1 -1 -1 -1
train_0314.jpg -1 -1 1 -1 -1 -1
train_0315.jpg -1 1 -1 -1 -1 -1
train_0316.jpg -1 1 -1 -1 -1 -1
train_0317.jpg -1 -1 -1 -1 -1 1
train_0318.jpg -1 -1 1 -1 -1 -1
train_0319.jpg -1 -1 -1 -1 -1 1
train_0320.jpg -1 1 -1 -1 -1 -1
train_0321.jpg 1 -1 -1 -1 -1 -1
train_0322.jpg -1 -1 -1 -1 1 -1
train_0323.jpg -1 -1 -1 -1 -1 1
train_0324.jpg -1 -1 -1 1 -1 -1
train_0325.jpg -1 -1 -1 -1 -1 1
train_0326.jpg -1 -1 -1 1 -1 -1
train_0327.jpg 1 -1 -1 -1 -1 -1
train_0328.jpg -1 1 -1 -1 -1 -1
train_0329.jpg -1 1 -1 -1 -1 -1
train_0330.jpg -1 -1 1 -1 -1 -1
train_0331.jpg -1 -1 -1 -1 -1 1
train_0332.jpg -1 -1 1 -1 -1 -1
train_0333.jpg -1 -1 -1 1 -1 -1
train_0334.jpg -1 -1 1 -1 -1 -1
train_0335.jpg -1 -1 -1 1 -1 -1
train_0336.jpg 1 -1 -1 -1 -1 -1
train_0337.jpg -1 -1 1 -1 -1 -1
train_0338.jpg -1 1 -1 -1 -1 -1
train_0339.jpg -1 -1 -1 -1 1 -1
train_0340.jpg -1 -1 -1 -1 -1 1
train_0341.jpg -1 -1 -1 -1 1 -1
train_0342.jpg -1 -1 1 -1 -1 -1
train_0343.jpg -1 -1 -1 1 -1 -1
train_0344.jpg -1 -1 -1 -1 1 -1
train_0345.jpg -1 1 -1 -1 -1 -1
train_0346.jpg -1 -1 -1 -1 -1 1
train_0347.jpg -1 1 -1 -1 -1 -1
train_0348.jpg -1 -1 -1 -1 -1 1
train_0349.jpg -1 -1 -1 1 -1 -1
train_0350.jpg 1 -1 -1 -1 -1 -1
train_0351.jpg 1 -1 -1 -1 -1 -1
train_0352.jpg -1 -1 -1 -1 1 -1
train_0353.jpg -1 -1 -1 1 -1 -1
train_0354.jpg -1 1 -1 -1 -1 -1
train_0355.jpg -1 -1 -1 -1 1 -1
train_0356.jpg 1 -1 -1 -1 -1 -1
train_0357.jpg -1 -1 1 -1 -1 -1
train_0358.jpg -1 -1 -1 -1 -1 1
train_0359.jpg -1 -1 1 -1 -1 -1
train_0360.jpg -1 -1 -1 1 -1 -1
train_0361.jpg 1 -1 -1 -1 -1 -1
train_0362.jpg -1 -1 -1 -1 -1 1
train_0363.jpg -1 -1 -1 -1 1 -1
train_0364.jpg -1 -1 -1 -1 1 -1
train_0365.jpg -1 -1 1 -1 -1 -1
train_0366.jpg -1 -1 -1 -1 -1 1
train_0367.jpg -1 -1 1 -1 -1 -1
train_0368.jpg 1 -1 -1 -1 -1 -1
train_0369.jpg -1 -1 -1 -1 1 -1
train_0370.jpg -1 -1 -1 1 -1 -1
train_0371.jpg 1 -1 -1 -1 -1 -1
train_0372.jpg -1 -1 1 -1 -1 -1
train_0373.jpg 1 -1 -1 -1 -1 -1
train_0374.jpg 1 -1 -1 -1 -1 -1
train_0375.jpg -1 -1 1 -1 -1 -1
train_0376.jpg -1 -1 1 -1 -1 -1
train_0377.jpg -1 -1 1 -1 -1 -1
train_0378.jpg -1 -1 -1 -1 -1 1
train_0379.jpg 1 -1 -1 -1 -1 -1
train_0380.jpg -1 -1 -1 1 -1 -1
train_0381.jpg -1 -1 -1 1 -1 -1
train_0382.jpg 1 -1 -1 -1 -1 -1
train_0383.jpg 1 -1 -1 -1 -1 -1
train_0384.jpg -1 1 -1 -1 -1 -1
train_0385.jpg -1 -1 -1 1 -1 -1
train_0386.jpg -1 -1 -1 -1 -1 1
train_0387.jpg -1 -1 1 -1 -1 -1
train_0388.jpg -1 -1 -1 -1 1 -1
train_0389.jpg -1 1 -1 -1 -1 -1
train_0390.jpg 1 -1 -1 -1 -1 -1
train_0391.jpg -1 1 -1 -1 -1 -1
train_0392.jpg -1 -1 -1 -1 -1 1
train_0393.jpg -1 -1 1 -1 -1 -1
train_0394.jpg -1 -1 -1 -1 -1 1
train_0395.jpg 1 -1 -1 -1 -1 -1
train_0396.jpg 1 -1 -1 -1 -1 -1
train_0397.jpg -1 -1 1 -1 -1 -1
train_0398.jpg 1 -1 -1 -1 -1 -1
train_0399.jpg -1 -1 -1 -1 1 -1
train_0400.jpg -1 -1 -1 1 -1 -1
train_0401.jpg -1 -1 1 -1 -1 -1
train_0402.jpg -1 1 -1 -1 -1 -1
train_0403.jpg -1 -1 -1 -1 -1 1
train_0404.jpg -1 -1 1 -1 -1 -1
train_0405.jpg -1 -1 1 -1 -1 -1
train_0406.jpg -1 1 -1 -1 -1 -1
train_0407.jpg -1 1 -1 -1 -1 -1
train_0408.jpg -1 -1 -1 1 -1 -1
train_0409.jpg -1 -1 -1 -1 1 -1
train_0410.jpg -1 -1 -1 -1 -1 1
train_0411.jpg -1 -1 -1 -1 -1 1
train_0412.jpg -1 -1 1 -1 -1 -1
train_0413.jpg -1 -1 1 -1 -1 -1
train_0414.jpg -1 1 -1 -1 -1 -1
train_0415.jpg -1 -1 -1 -1 -1 1
train_0416.jpg -1 -1 -1 -1 -1 1
train_0417.jpg -1 -1 1 -1 -1 -1
train_0418.jpg -1 -1 -1 1 -1 -1
train_0419.jpg -1 -1 -1 -1 -1 1
train_0420.jpg -1 -1 -1 -1 -1 1
train_0421.jpg -1 -1 1 -1 -1 -1
train_0422.jpg -1 -1 -1 -1 1 -1
train_0423.jpg -1 1 -1 -1 -1 -1
train_0424.jpg -1 -1 -1 -1 -1 1
train_0425.jpg -1 -1 -1 -1 -1 1
train_0426.jpg -1 -1 -1 -1 -1 1
train_0427.jpg -1 1 -1 -1 -1 -1
train_0428.jpg -1 -1 -1 1 -1 -1
train_0429.jpg -1 1 -1 -1 -1 -1
train_0430.jpg -1 -1 -1 1 -1 -1
train_0431.jpg -1 -1 -1 -1 -1 1
train_0432.jpg -1 -1 -1 -1 1 -1
train_0433.jpg -1 1 -1 -1 -1 -1
train_0434.jpg -1 -1 -1 -1 1 -1
train_0435.jpg -1 -1 1 -1 -1 -1
train_0436.jpg -1 -1 -1 -1 1 -1
train_0437.jpg -1 1 -1 -1 -1 -1
train_0438.jpg -1 -1 1 -1 -1 -1
train_0439.jpg -1 1 -1 -1 -1 -1
train_0440.jpg -1 1 -1 -1 -1 -1
train_0441.jpg -1 -1 -1 1 -1 -1
train_0442.jpg 1 -1 -1 -1 -1 -1
train_0443.jpg 1 -1 -1 -1 -1 -1
train_0444.jpg -1 -1 -1 -1 1 -1
train_0445.jpg -1 -1 -1 -1 -1 1
train_0446.jpg -1 1 -1 -1 -1 -1
train_0447.jpg -1 -1 -1 1 -1 -1
train_0448.jpg -1 -1 -1 -1 -1 1
train_0449.jpg -1 1 -1 -1 -1 -1
train_0450.jpg -1 -1 -1 -1 1 -1
train_0451.jpg 1 -1 -1 -1 -1 -1
train_0452.jpg -1 -1 -1 1 -1 -1
train_0453.jpg -1 -1 -1 1 -1 -1
train_0454.jpg -1 -1 -1 1 -1 -1
train_0455.jpg 1 -1 -1 -1 -1 -1
train_0456.jpg -1 -1 -1 -1 1 -1
train_0457.jpg -1 -1 -1 1 -1 -1
train_0458.jpg -1 -1 -1 -1 -1 1
train_0459.jpg -1 -1 -1 1 -1 -1
train_0460.jpg -1 1 -1 -1 -1 -1
train_0461.jpg -1 -1 1 -1 -1 -1
train_0462.jpg -1 -1 -1 -1 -1 1
train_0463.jpg -1 1 -1 -1 -1 -1
train_0464.jpg -1 -1 -1 1 -1 -1
train_0465.jpg -1 -1 1 -1 -1 -1
train_0466.jpg -1 -1 -1 -1 -1 1
train_0467.jpg -1 -1 -1 -1 1 -1
train_0468.jpg -1 -1 1 -1 -1 -1
train_0469.jpg 1 -1 -1 -1 -1 -1
train_0470.jpg -1 -1 1 -1 -1 -1
train_0471.jpg -1 -1 1 -1 -1 -1
train_0472.jpg -1 -1 1 -1 -1 -1
train_0473.jpg -1 -1 1 -1 -1 -1
train_0474.jpg -1 -1 -1 1 -1 -1
train_0475.jpg 1 -1 -1 -1 -1 -1
train_0476.jpg -1 -1 -1 -1 -1 1
train_0477.jpg -1 -1 -1 -1 -1 1
train_0478.jpg 1 -1 -1 -1 -1 -1
train_0479.jpg -1 -1 -1 1 -1 -1
train_0480.jpg -1 -1 -1 -1 -1 1
train_0481.jpg 1 -1 -1 -1 -1 -1
train_0482.jpg 1 -1 -1 -1 -1 -1
train_0483.jpg -1 -1 1 -1 -1 -1
train_0484.jpg -1 -1 -1 -1 -1 1
train_0485.jpg -1 -1 -1 -1 -1 1
train_0486.jpg -1 -1 -1 -1 -1 1
train_0487.jpg -1 -1 -1 1 -1 -1
train_0488.jpg 1 -1 -1 -1 -1 -1
train_0489.jpg -1 -1 -1 1 -1 -1
train_0490.jpg -1 -1 -1 -1 -1 1
train_0491.jpg 1 -1 -1 -1 -1 -1
train_0492.jpg -1 -1 1 -1 -1 -1
train_0493.jpg -1 -1 1 -1 -1 -1
train_0494.jpg 1 -1 -1 -1 -1 -1
train_0495.jpg -1 -1 -1 -1 1 -1
train_0496.jpg 1 -1 -1 -1 -1 -1
train_0497.jpg 1 -1 -1 -1 -1 -1
train_0498.jpg -1 -1 -1 1 -1 -1
train_0499.jpg -1 -1 -1 -1 1 -1
train_0500.jpg -1 -1 -1 1 -1 -1
train_0501.jpg -1 -1 -1 -1 -1 1
train_0502.jpg -1 -1 -1 -1 -1 1
train_0503.jpg -1 -1 -1 1 -1 -1
train_0504.jpg -1 -1 1 -1 -1 -1
train_0505.jpg -1 1 -1 -1 -1 -1
train_0506.jpg -1 -1 1 -1 -1 -1
train_0507.jpg 1 -1 -1 -1 -1 -1
train_0508.jpg -1 -1 -1 -1 1 -1
train_0509.jpg -1 -1 -1 -1 1 -1
train_0510.jpg -1 -1 1 -1 -1 -1
train_0511.jpg -1 -1 -1 -1 -1 1
train_0512.jpg -1 -1 1 -1 -1 -1
train_0513.jpg -1 -1 -1 1 -1 -1
train_0514.jpg -1 -1 1 -1 -1 -1
train_0515.jpg -1 -1 -1 -1 1 -1
train_0516.jpg -1 -1 -1 1 -1 -1
train_0517.jpg 1 -1 -1 -1 -1 -1
train_0518.jpg -1 -1 1 -1 -1 -1
train_0519.jpg -1 -1 -1 -1 1 -1
train_0520.jpg -1 1 -1 -1 -1 -1
train_0521.jpg -1 -1 -1 1 -1 -1
train_0522.jpg -1 -1 1 -1 -1 -1
train_0523.jpg 1 -1 -1 -1 -1 -1
train_0524.jpg -1 -1 -1 -1 -1 1
train_0525.jpg -1 -1 1 -1 -1 -1
train_0526.jpg -1 -1 -1 1 -1 -1
train_0527.jpg -1 -1 -1 1 -1 -1
train_0528.jpg -1 -1 1 -1 -1 -1
train_0529.jpg -1 -1 -1 -1 1 -1
train_0530.jpg -1 -1 -1 -1 -1 1
train_0531.jpg -1 -1 -1 1 -1 -1
train_0532.jpg -1 -1 -1 -1 1 -1
train_0533.jpg -1 -1 -1 -1 -1 1
train_0534.jpg -1 -1 1 -1 -1 -1
train_0535.jpg -1 -1 -1 -1 -1 1
train_0536.jpg -1 -1 -1 1 -1 -1
train_0537.jpg -1 1 -1 -1 -1 -1
train_0538.jpg -1 -1 -1 1 -1 -1
train_0539.jpg -1 1 -1 -1 -1 -1
train_0540.jpg -1 1 -1 -1 -1 -1
train_0541.jpg -1 -1 -1 -1 1 -1
train_0542.jpg -1 -1 1 -1 -1 -1
train_0543.jpg 1 -1 -1 -1 -1 -1
train_0544.jpg -1 -1 1 -1 -1 -1
train_0545.jpg -1 -1 -1 1 -1 -1
train_0546.jpg -1 -1 -1 1 -1 -1
train_0547.jpg -1 -1 1 -1 -1 -1
train_0548.jpg -1 -1 -1 1 -1 -1
train_0549.jpg 1 -1 -1 -1 -1 -1
train_0550.jpg -1 1 -1 -1 -1 -1
train_0551.jpg -1 1 -1 -1 -1 -1
train_0552.jpg -1 -1 1 -1 -1 -1
train_0553.jpg -1 -1 -1 -1 -1 1
train_0554.jpg -1 1 -1 -1 -1 -1
train_0555.jpg -1 -1 1 -1 -1 -1
